text,label,NLP,
motor neuron,motor neuron,Y,
motor neurons in the fly proboscis,proboscis muscle motor neuron,Y,
mn1,proboscis muscle 1 motor neuron,Y,
mn2D,proboscis muscle 2 dorsal motor neuron,N,
mn2V,proboscis muscle 2 ventral motor neuron,N,
mn3M,proboscis muscle 3 medial motor neuron,N,
mn3L,proboscis muscle 3 lateral motor neuron,Y,
mn4,proboscis muscle 4 motor neuron,Y,
mn5,proboscis muscle 5 motor neuron,Y,
mn6,proboscis muscle 6 motor neuron,N,
mn7,proboscis muscle 7 motor neuron,Y,
mn8,proboscis muscle 8 motor neuron,Y,
mn9,proboscis muscle 9 motor neuron,N,
mn10,proboscis muscle 10 motor neuron,N,
mn11D,proboscis muscle 11 dorsal motor neuron,Y,
mn11V,proboscis muscle 11 ventral motor neuron,N,
12D,proboscis muscle 12 dorsal motor neuron,N,
mn12V,proboscis muscle 12 ventral motor neuron,N,
mn13,proboscis muscle 13 motor neuron,N,
mechanosensory neurons,adult mechanosensory neuron,N,
,,,
,,,
,,,
,,,
,,,
